symbol,date,open,high,low,close,volume,sector,daily_return,rolling_avg_20,rolling_volatility_20,vol_mean,vol_std,volume_zscore
AAPL,2014-01-02,79.3828,79.5756,78.8601,79.0185,58791957,Technology,,,,45169571.1708,24902326.4211,0.547
AAPL,2014-01-03,78.9799,79.0999,77.2042,77.2828,98303870,Technology,-0.022,,,45169571.1708,24902326.4211,2.1337
AAPL,2014-01-06,76.7785,78.1142,76.2285,77.7042,103359151,Technology,0.0055,,,45169571.1708,24902326.4211,2.3367
AAPL,2014-01-07,77.7599,77.9942,76.8464,77.1481,79432766,Technology,-0.0072,,,45169571.1708,24902326.4211,1.3759
AAPL,2014-01-08,76.9728,77.9371,76.9556,77.6371,64686685,Technology,0.0063,,,45169571.1708,24902326.4211,0.7837
AAPL,2014-01-09,78.1142,78.1228,76.4785,76.6455,69905199,Technology,-0.0128,,,45169571.1708,24902326.4211,0.9933
AAPL,2014-01-10,77.1185,77.2571,75.8728,76.1342,76320664,Technology,-0.0067,,,45169571.1708,24902326.4211,1.2509
AAPL,2014-01-13,75.7014,77.4999,75.6971,76.5328,94860843,Technology,0.0052,,,45169571.1708,24902326.4211,1.9954
AAPL,2014-01-14,76.8885,78.1042,76.8085,78.0556,83734371,Technology,0.0199,,,45169571.1708,24902326.4211,1.5486
AAPL,2014-01-15,79.0742,80.0285,78.8085,79.6228,98472619,Technology,0.0201,,,45169571.1708,24902326.4211,2.1405
AAPL,2014-01-16,79.2713,79.5499,78.8113,79.1785,57471330,Technology,-0.0056,,,45169571.1708,24902326.4211,0.494
AAPL,2014-01-17,78.7828,78.8671,77.1285,77.2385,108426689,Technology,-0.0245,,,45169571.1708,24902326.4211,2.5402
AAPL,2014-01-21,77.2842,78.5813,77.2028,78.4385,82255544,Technology,0.0155,,,45169571.1708,24902326.4211,1.4893
AAPL,2014-01-22,78.702,79.6128,78.2585,78.7871,95219334,Technology,0.0044,,,45169571.1708,24902326.4211,2.0098
AAPL,2014-01-23,78.5628,79.4999,77.8294,79.4542,100978346,Technology,0.0085,,,45169571.1708,24902326.4211,2.2411
AAPL,2014-01-24,79.1428,79.3742,77.8214,78.0099,108384437,Technology,-0.0182,,,45169571.1708,24902326.4211,2.5385
AAPL,2014-01-27,78.5813,79.2571,77.9642,78.6428,144219152,Technology,0.0081,,,45169571.1708,24902326.4211,3.9775
AAPL,2014-01-28,72.6799,73.5714,71.7242,72.3571,266833581,Technology,-0.0799,,,45169571.1708,24902326.4211,8.9013
